columns : ['rate', 'spread', 'velocity_below', 'silhouette_score', 'firing_rate', 'd_prime', 'nn_hit_rate', 'waveform_duration', 'amplitude', 'cluster_id', 'snr', 'local_index', 'peak_channel_id', 'PT_ratio', 'presence_ratio', 'max_drift', 'cumulative_drift', 'repolarization_slope', 'waveform_halfwidth', 'amplitude_cutoff', 'nn_miss_rate', 'quality', 'velocity_above', 'isolation_distance', 'l_ratio', 'recovery_slope', 'isi_violations']
    Index      rate    spread    velocity_below    silhouette_score    firing_rate    d_prime    nn_hit_rate    waveform_duration    amplitude    cluster_id    snr    local_index    peak_channel_id    PT_ratio    presence_ratio    max_drift    cumulative_drift    repolarization_slope    waveform_halfwidth    amplitude_cutoff    nn_miss_rate  quality      velocity_above    isolation_distance    l_ratio    recovery_slope    isi_violations
951765966   0.10117        50              0.34              nan              0.1        2.21           0.1                  0.66       122.14           400   1.66            389          850135374        0.03              0.97        23.95               78.86                    0.46                  0.18                0.21            0     good                   0.34          25.36              0.05             -0.03             11.35
951765973   0.67416        70              0.69                0.05           0.67       3.58           0.6                  0.74       115.43           401   1.77            390          850135372        0.39              0.99        47.96              420                       0.42                  0.14                0.07            0     good                   1.72          34.58              0.09             -0.04              4.01
951765977   0.50407        80              1.03                0              0.5        3.88           0.62                 0.6         63.06           402   1.21            391          850135380        0.15              0.99        49.52              637.74                    0.21                  0.19                0.12            0.01  good                   1.51          46.33              0.01             -0.02              2.59
951765984   0.12969       160             -1.57                0.15           0.13       3.06           0.37                 1.39       119.14           403   0.88            392          850135448        0.24              0.89        58.47              127.63                    0.03                  1.03                0.07            0     noise                  2.37          16.57              0.4              -0.03            211.87
951765988   0.45085        50             -3.43                0.01           0.45       4.31           0.85                 1.37       152.06           404   0.62            393          850135470        0.11              0.74        20.4                19.72                    0.14                  0.33                0.12            0     good                  -0.48          45.49              0                -0.01              0
951765995   1.32508        70              0.48                0.02           1.33       3.83           0.74                 0.73       136.78           405   2.7             394          850135604        0.09              0.99        42.33              215.45                    0.44                  0.21                0.01            0     good                   1.37          44                 0.01             -0.04              0.49
951766001   0.1395        110              0.29              nan              0.14       3.13           0.77                 0.59       169.88           406   2.17            395          850135684        0.16              0.92        25.78               49.92                    0.25                  0.78                0.01            0     noise                  0             13.63              0.3              -0.16             87.57
951766007   0.57589        60              0                   0.02           0.58       3.66           0.76                 0.54       123.99           407   1.32            396          850135330        0.1               0.99        21.32              269.27                    0.24                  0.26                0.03            0     good                   0.76          47.54              0                -0.03              0.23
951766012   0.09083        50             -0.96               -0.12           0.09       4.32           0                    1.11       312.1            408   1.33            397          850135474        0.2               0.52         6.35               11.14                    0.3                   0.36                0.08            0     good                  -2.75          18.14              0.02             -0.01              0
951766019   0.02501        40              0                 nan              0.03      10.73           0.76                 0.66       494.69           409   5.05            398          850135372        0.21              0.6        nan                   0                       1.98                  0.12                0.04            0     good                   0             86.41              0                -0.17              0
951766024   0.00837        30              0.69              nan              0.01       6.81           0                    0.58       607.06           410   7.22            399          850135372        0.21              0.41       nan                   0                       2.14                  0.1                 0               0     good                   0.69          86.57              0                -0.16              0
951766138   3.56684        30            nan                 nan              3.57       2.03           0.5                  0.56        46.73             0   1.68              0          850137692        0.75              0.99        22.36              402.05                    0.27                  0.27                0.5             0.01  good                   0.69          21.36              0.05             -0.04              0.05
951766144  10.9933         30            nan                   0.09          10.99       5.03           0.94                 0.49       170.97             1   4.11              1          850137694        0.73              0.99         9.47              141.83                    0.52                  0.4                 0               0.01  good                   1.03          69.52              0.01             -0.11              0
951766152   7.44338        30            nan                   0.07           7.44       2.72           0.8                  0.56        97.33             2   2.47              2          850137694        0.61              0.99        13.98              293.31                    0.27                  0.25                0.5             0.01  good                   0             43.3               0.01             -0.05              0.23
951766160   4.75634        40            nan                   0.1            4.76       2.63           0.71                 0.54       108.12             3   2.6               3          850137694        0.52              0.99        35.05              247.18                    0.31                  0.22                0.07            0.01  good                   0.82          31.66              0.02             -0.04              0.16
951766167  10.7141         30            nan                   0.24          10.71       4.63           0.99                 0.54       120.07             4   2.76              4          850137696        0.53              0.99        10.94              253.75                    0.32                  0.25                0.01            0     good                   0.69          95.02              0                -0.04              0.02
951766173   9.36047        30            nan                   0.36           9.36       6.64           1                    0.54       266.39             5   5.07              5          850137696        0.46              0.99        18.53               56.64                    0.87                  0.23                0               0     good                   0.34          80.08              0                -0.12              0
951766180  10.412          40            nan                   0.18          10.41       5.04           1                    0.58       162.85             6   3.28              6          850137692        0.49              0.99        13.94               93.89                    0.67                  0.18                0               0     good                  -0.41          90.48              0                -0.1               0.01
951766188   5.87175        60             -0.69                0.12           5.87       1.96           0.86                 0.58        96.41             7   2.41              7          850137698        0.58              0.99        20.3               264.18                    0.24                  0.27                0.5             0.01  good                   0.55          40.56              0.01             -0.04              0.13
951766195   8.16663        40            nan                   0.08           8.17       3.18           0.95                 0.56       122.78             8   2.7               8          850137696        0.52              0.99        14.95              182.92                    0.36                  0.22                0               0     good                   0             62.59              0                -0.05              0.11
951766203   1.90221        50             -0.34                0.51           1.9        6.8            0.98                 0.52       227.15             9   5.32              9          850137702        0.71              0.99        17.68               67.62                    0.7                   0.43                0               0     good                   0.69          80.87              0                -0.15              0
951766208  12.5293         60             -0.34                0.13          12.53       3.63           0.97                 0.56        90.46            10   2.7              10          850137702        0.51              0.99        21.4               191.77                    0.24                  0.25                0.08            0     good                   0.21          61.47              0.01             -0.05              0.22
951766214   0.0589         60              0                 nan              0.06       5.75           0                    0.55       172.69            11   3.83             11          850137702        0.87              0.55        17.26               23.89                    0.51                  0.67                0.09            0     noise                  0.48          34.46              0                -0.1              11.16
951766220   0.17577        60            nan                 nan              0.18       2.4            0                    0.59        76.38            12   1.41             12          850137696        0.8               0.99        37.98              194.45                    0.18                  0.34                0.3             0     good                   0.37          28.48              0.02             -0.03              0
951766225   5.32087        50              0.69                0.42           5.32       6.1            1                    0.55       168.69            13   3.98             13          850137700        0.71              0.99        33.84               69.2                     0.48                  0.33                0               0     good                   0.41          61.97              0                -0.1               0
951766229   4.65135        60             -0.34                0.31           4.65       6.3            0.97                 0.52       125.53            14   3.9              14          850137704        0.41              0.99        14.89               89.04                    0.4                   0.18                0               0     good                   0.48          88.58              0                -0.06              0.04
951766235   0.96609        60             -2.06                0.21           0.97       6.33           0.99                 0.55        56.42            15   1.71             15          850137704        3.26              0.76        50.53              593.52                    0.21                  0.21                0.5             0     good                   0.41         113.93              0                -0.01              0
951766240   5.05385        80              0                   0.1            5.05       2.98           0.74                 0.58        69.18            16   2.12             16          850137702        0.54              0.99        19.23              196                       0.18                  0.26                0.38            0     good                   1.47          51.45              0.01             -0.04              0.1
951766245   3.38342        70              0                   0.19           3.38       7.22           0.97                 0.58       130.8             17   3.98             17          850137706        0.39              0.99        21.13               85.17                    0.4                   0.19                0               0     good                   0.55          74.94              0                -0.06              0.03
951766251   6.44888        80              0                   0.11           6.45       2.89           0.88                 0.6         64.94            18   2.3              18          850137706        0.47              0.99        18.91              203.71                    0.14                  0.34                0.5             0.01  good                  -0.55          57.77              0.01             -0.03              0.07
951766256   0.70733        80             -0.21                0.04           0.71       2.75           0.28                 0.54        48.97            19   1.6              19          850137706        0.42              0.99        30.38              616.5                     0.14                  0.23                0.33            0     good                   0             36.52              0.01             -0.03              0.08
951766262   6.33583        80             -0.27                0.09           6.34       4.65           0.92                 0.47        89.61            20   2.99             20          850137710        0.65              0.99        21.62              101.34                    0.28                  0.27                0               0     good                   0.41          57.29              0.01             -0.05              0.05
951766266   8.58318        80              0.14                0.15           8.58       4.64           0.88                 0.59        74.93            21   2.61             21          850137710        0.55              0.99        17.37              130.59                    0.2                   0.25                0.09            0     good                   0.62          69.35              0                -0.03              0.09
951766271   6.02665        90             -0.34                0.05           6.03       3.36           0.85                 0.59        65.11            22   2.3              22          850137710        0.58              0.99        17.03              146.86                    0.18                  0.25                0.5             0     good                   0.96          56.91              0.01             -0.04              0.17
951766276   2.62132        90             -0.34                0.15           2.62       3.57           0.76                 0.66        62.41            23   1.7              23          850137712        0.74              0.99        21.51              385.77                    0.12                  0.34                0.5             0     good                  -0.34          52.6               0                -0.03              0.12
951766280   4.53841        70             -1.24                0.13           4.54       3.43           0.95                 0.67       109.6             24   2.72             24          850137712        0.51              0.99        27.75              122.79                    0.31                  0.27                0.02            0     good                   0.41          61.25              0                -0.05              0.07
951766286   6.32157        50             -1.37                0.21           6.32       4.1            0.98                 0.59       172.64            25   3.88             25          850137712        0.5               0.99        20.87               39.08                    0.49                  0.23                0               0     good                   1.03          88.39              0                -0.07              0
951766291   2.9985         70             -0.69                0.11           3          2.97           0.74                 0.59        73.1             26   2.27             26          850137712        0.55              0.99        33.54              270.2                     0.2                   0.22                0.21            0     good                   0.14          55.24              0                -0.03              0.03
951766298   8.71307        80              0                   0.16           8.71       4.07           0.99                 0.55        90.75            27   2.61             27          850137714        0.48              0.99        19.79              119.99                    0.25                  0.3                 0               0     good                   1.1           94.31              0                -0.04              0.03
951766303   9.10947        60             -0.62                0.16           9.11       4.16           0.98                 0.66       146.33            28   3.85             28          850137716        0.63              0.93        25.55              129.01                    0.38                  0.27                0.02            0     good                   0.34          84.8               0                -0.06              0.05
951766309  27.6031         50             -1.72                0.07          27.6        5.72           1                    0.84       132.06            29   2.54             29          850137718        0.35              0.99         8.98               49.88                    0.25                  0.34                0               0     good                   0.69         117.47              0                -0.02              0
951766314  13.9623         80             -0.48                0.08          13.96       4.4            0.99                 0.65       133.62            30   3.22             30          850137718        0.58              0.99        15.56               74.63                    0.25                  0.34                0.01            0     good                   0.89         101.42              0                -0.08              0.02
951766322  13.2362         70             -0.69                0.19          13.24       6.17           1                    0.62       171.41            32   4.1              31          850137718        0.51              0.99        26.18               58.06                    0.39                  0.29                0               0     good                   1.3          113.45              0                -0.09              0.01
951766327  20.8808         50             -0.69                0.17          20.88       3.34           0.98                 0.62        77.33            33   2                32          850137720        0.21              0.99         6.15               59.93                    0.23                  0.22                0.37            0.01  good                   0.69         117.81              0                -0                 0.03
951766334   9.46226        80             -0.34                0.18           9.46       5.24           0.98                 0.59       161.36            34   4.05             33          850137716        0.56              0.99        33.4                71.71                    0.43                  0.27                0               0     good                   1.37          69.3               0                -0.08              0.01
951766340   3.49089        60             -0.21                0.15           3.49       3.38           0.75                 0.62       154.86            35   3.83             34          850137720        0.58              0.99        13.15               79.16                    0.38                  0.3                 0.07            0     good                   1.03          35.08              0.03             -0.07              0.18
951766346   7.1218         70             -0.34                0.05           7.12       2.46           0.76                 0.65        88.55            36   2.31             35          850137720        0.48              0.99        25.61              131.8                     0.23                  0.27                0.22            0.01  good                   1.03          50.06              0.01             -0.03              1.47
951766353   0.01281       110             -0.82              nan              0.01       3.36         nan                    0.65        96.83            37   2.11             36          850137720        0.47              0.64       nan                   0                       0.26                  0.25                0.5             0     good                   2.64          22.17              0.01             -0.04            235.9
951766360   0.39991        70              0.34              nan              0.4        4.26           0.77                 0.73        73.85            39   1.65             37          850137722        0.52              0.99        17.89              134.98                    0.21                  0.23                0.06            0     good                   0.96          53.08              0                -0.03              0
951766366  10.6936         80             -0.07                0.25          10.69       5.83           0.99                 0.51       129.08            40   3.32             38          850137724        0.59              0.99        12.04               65.88                    0.36                  0.25                0               0     good                   0.89         131.18              0                -0.07              0.01
951766372  12.1386         50              0                   0.23          12.14       7.38           1                    0.51       150.6             41   3.82             39          850137724        0.42              0.99        25.28               67.62                    0.49                  0.19                0               0     good                   0.69         136.63              0                -0.07              0
951766379   6.03647        90              0.21                0.19           6.04       3.63           0.79                 0.58        71.67            42   1.86             40          850137726        0.73              0.99        26.53              233.62                    0.17                  0.41                0.5             0.01  good                   0.27          55.71              0.01             -0.04              0.09
951766385   3.86827        80              0.34                0.07           3.87       3.88           0.8                  0.63        87.87            43   2.16             41          850137726        0.47              0.99         6.26              160.72                    0.23                  0.25                0.5             0     good                   0.82          53.68              0                -0.04              0.16
951766390   6.73223        60             -1.37                0.05           6.73       4.27           0.85                 0.62        99.84            44   2.53             42          850137726        0.56              0.99        14.55              109.37                    0.25                  0.29                0.07            0     good                   0.21          58.86              0.01             -0.05              0.12
951766398   1.86687       110              0.1                 0.1            1.87       3.06           0.85                 0.63        78.99            45   1.61             43          850137736        0.82              0.99        26.2               490.9                     0.15                  0.49                0.5             0     good                   0.27          45.64              0.01             -0.03              0.12
951766403   7.8248         60             -0.89                0.47           7.82      11.13           1                    0.55       420.91            46   7.63             44          850137730        0.47              0.99        19.52               66.03                    1.25                  0.21                0               0     good                  -0.34         234                 0                -0.21              0
951766408  10.6266         50             -0.69                0.41          10.63       9.28           1                    0.58       300.06            48   5.54             45          850137730        0.48              0.99        19.09               53.34                    0.88                  0.23                0               0     good                   1.03         266.88              0                -0.13              0
951766416  10.091          70             -0.96                0.18          10.09       4.98           1                    0.55       125.05            49   2.71             46          850137732        0.52              0.99        11.74               85.28                    0.36                  0.26                0               0     good                   0.96         123.05              0                -0.07              0.02
951766421   0.68915        80             -0.76              nan              0.69       2.02           0.32                 0.69        89.76            50   2                47          850137738        0.64              0.99        16.68              464.42                    0.18                  0.34                0.43            0     good                   0.07          26.84              0.03             -0.03              0
951766427   7.16882        70             -0.69                0.17           7.17       4.43           0.96                 0.59       126.46            51   3.07             48          850137734        0.55              0.99         8.77               64.23                    0.34                  0.23                0.07            0     good                   0.96          70.52              0                -0.06              0.13
951766432   7.59136        60             -0.96                0.09           7.59       4.76           0.97                 0.55        81.34            52   2.01             49          850137734        0.65              0.99         7.24              100.38                    0.21                  0.25                0.11            0     good                   0.34          82.32              0                -0.04              0.07
951766438   5.55885        70             -0.69                0.08           5.56       2.34           0.95                 0.66        92.48            53   2.25             50          850137736        0.5               0.99        24.29              173.23                    0.22                  0.25                0.26            0     good                   0.48          67.77              0                -0.04              0.04
951766442   9.71284        50             -0.69                0.4            9.71      10.52           1                    0.52       309.92            54   7.01             51          850137736        0.61              0.99        12.48               28.22                    0.91                  0.23                0               0     good                   0.34         190.44              0                -0.19              0
951766447  13.6457         70             -1.37                0.17          13.65       4.21           0.98                 0.6        110.59            55   2.39             52          850137738        0.66              0.99        17.02              107.45                    0.29                  0.37                0.02            0     good                   0.48          79.45              0                -0.05              0.05
951766452   5.53095        50             -0.34                0.43           5.53      10.15           1                    0.54       305.81            56   6.16             53          850137738        0.48              0.99        11.67               37.22                    0.99                  0.19                0               0     good                   0.34         186.94              0                -0.17              0
951766458  15.2865         60             -1.44                0.31          15.29       7.25           1                    0.62       216.51            57   5.28             54          850137742        0.47              0.99        16.79               38.87                    0.52                  0.26                0               0     good                   0.69         100.72              0                -0.09              0
951766463   8.09647        60             -0.21                0.18           8.1        5.1            0.99                 0.56       148.06            58   3.49             55          850137742        0.42              0.99        17.82               89.98                    0.44                  0.21                0               0     good                   0.69          93.12              0                -0.06              0.02
951766469   0.06086       100              0.34              nan              0.06       3.01           0                    0.62        69.27            59   1.39             56          850137742        0.73              0.95        17.86               14.07                    0.14                  0.33                0.5             0     good                  -0.26          30.71              0                -0.03              0
951766474  15.4068         60             -0.34                0.13          15.41       4.07           0.99                 0.62       107.21            60   2.45             57          850137742        0.54              0.99        17.06               87.03                    0.27                  0.25                0               0     good                   0.21          98.15              0                -0.05              0.01
951766480   6.592          60             -0.55                0.44           6.59       8.65           1                    0.65       273.02            61   6.85             58          850137744        0.44              0.99        26.88               56.41                    0.8                   0.21                0               0     good                   0.34         180.65              0                -0.1               0
951766485   1.00887        90             -0.62                0.09           1.01       3.14           0.7                  0.58        81.33            62   2.12             59          850137744        0.59              0.99        23.85              399.27                    0.19                  0.32                0.05            0     good                  -0.27          55.26              0                -0.02              0.11
951766489   5.3901         90              0                   0.13           5.39       3.27           0.56                 0.69        70.57            63   2.21             60          850137748        0.65              0.99        20.71              209.9                     0.12                  0.34                0.5             0.01  good                   0.31          39.55              0.02             -0.03              0.07
951766494   5.21226        60              0                   0.23           5.21       4.64           0.95                 0.58       102.87            64   3.15             61          850137750        0.46              0.99        15.82              131.16                    0.32                  0.19                0.02            0     good                   0.21          55.38              0                -0.04              0.06
951766500   0.344          80              0.07                0.1            0.34       3.21           0.17                 0.67        76.39            65   2.49             62          850137750        0.51              0.99        16.77              385.37                    0.2                   0.26                0.02            0     good                   0.07          37.14              0                -0.03              0
951766504   7.791         100             -0.96                0.05           7.79       3.78           0.91                 0.58        67.44            66   2.3              63          850137752        0.58              0.99        14.92              130.82                    0.18                  0.26                0.45            0     good                  -0.21          60.75              0.01             -0.03              0.11
951766510   3.71916        50             -0.34                0.45           3.72      10.24           0.98                 0.56       268.67            67   6.89             64          850137752        0.58              0.99         4.06               22.75                    0.77                  0.21                0               0     good                   0            113.81              0                -0.16              0
951766515  14.5508         80             -1.33                0.04          14.55       3.66           0.91                 0.6         65.48            68   2.16             65          850137752        0.5               0.99        13.43              106.95                    0.17                  0.23                0.23            0     good                   0             89.52              0.01             -0.03              0.05
951766521  10.2152         70             -1.24                0.11          10.22       4.05           0.96                 0.6         90.53            69   2.88             66          850137750        0.57              0.99        14.51               84.59                    0.24                  0.26                0               0     good                  -0.21          68.26              0                -0.05              0.03
951766526   7.57307        60              0                   0.13           7.57       5.39           1                    0.65        79.8             70   2.6              67          850137754        0.53              0.99        13.43              118.83                    0.22                  0.33                0               0     good                   1.03          81.69              0                -0.04              0.02
951766531   8.37578        40             -0.69                0.12           8.38       5.57           0.99                 0.59       112.54            71   3.34             68          850137754        0.34              0.99        18.79               71.86                    0.34                  0.19                0               0     good                  -0.69          92.19              0                -0.04              0.01
951766541  15.5747         80             -0.48                0.17          15.57       4.09           0.99                 0.63        78.81            72   2.65             69          850137756        0.48              0.99        11.86               73.16                    0.2                   0.26                0               0     good                   0.69          82.31              0                -0.03              0.04
951766546  12.2331         60             -0.21                0.21          12.23       5.71           0.99                 0.54       114.12            73   3.7              70          850137758        0.37              0.99        11.29               49.82                    0.36                  0.19                0               0     good                   0.69          96.17              0                -0.04              0.01
951766552   6.38915        60             -0.62                0.13           6.39       3.46           0.73                 0.63        90.08            74   2.78             71          850137758        0.48              0.99        15.81              107.82                    0.22                  0.26                0.05            0.01  good                   0             45.11              0.02             -0.04              0.13
951766557   4.74549        40             -1.37                0.18           4.75       4.96           0.99                 0.65       126.56            75   3.6              72          850137758        0.4               0.99        10.73               66.86                    0.38                  0.21                0               0     good                   0             62.55              0                -0.05              0.03
951766562   0.16058        60             -0.34                0.03           0.16       2.47           0.04                 0.65        62.15            76   1.89             73          850137758        0.47              0.99        22.42              176.92                    0.14                  0.32                0.01            0     good                   1.37          31.84              0.01             -0.04              0
951766567   1.90572        40             -0.34                0.04           1.91       3.85           0.6                  0.71        83.57            77   2.68             74          850137758        0.31              0.99         6.65              155.24                    0.28                  0.21                0.09            0     good                   0             42.35              0.01             -0.03              0.2
951766573  14.5612         30              0                   0.14          14.56       6.05           1                    0.66        61.2             78   2.29             75          850137760        0.69              0.99         6.47               93.27                    0.12                  0.33                0.04            0     good                 nan            114.07              0                -0.03              0
951766577   2.15807       130             -0.12                0.07           2.16       2.61           0.53                 0.67        64.76            79   2.3              76          850137766        0.68              0.99        13.39              323.27                    0.12                  0.37                0.5             0     good                  -0.12          37.77              0.02             -0.03              0.08
951766582   6.21069       100             -0.62                0.08           6.21       3.44           0.92                 0.55        58.71            80   2.28             77          850137766        0.57              0.99        11.56              173.82                    0.16                  0.27                0.4             0.01  good                  -0.31          66.41              0                -0.03              0.03
951766589  13.1292         60             -2.06                0.1           13.13       3.88           0.97                 0.73        64.86            81   2.32             78          850137766        0.37              0.99         9.61              136.16                    0.17                  0.23                0.45            0     good                   1.3           76.83              0                -0.02              0.01
951766593   2.40938        70              0.21                0.03           2.41       3.44           0.63                 0.69        71               82   2.55             79          850137766        0.43              0.99        17.62              235.97                    0.2                   0.22                0.5             0     good                   1.03          44.38              0.01             -0.02              0.29
951766599  10.8013         60            -10.3                 0.09          10.8        4.81           0.96                 0.67        59.96            83   2.1              80          850137766        0.59              0.99        18                 142.36                    0.12                  0.27                0.02            0     good                   1.3           70.82              0                -0.03              0.01
951766605   0.91628        10            nan                 nan              0.92       7.49           1                    0.25        85.29            84   3.1              81          850137768        0.25              0.91        17.69              216.72                    0.35                  0.12                0.42            0     noise                nan             91.39              0                -0.07              0
951766611   8.05554        70             -0.96                0.35           8.06       9.22           1                    0.54       182.48            85   5.94             82          850137770        0.44              0.99        11.54               35.32                    0.54                  0.19                0               0     good                  -0.21         153.7               0                -0.08              0
951766616   4.09551        60             -0.34                0.13           4.1        4.32           0.93                 0.58        74.61            86   2.63             83          850137774        0.42              0.99         5.38              158.57                    0.22                  0.21                0.4             0     good                   0.21          66.47              0                -0.03              0.12
951766621   4.53768        50             -0.69                0.32           4.54       8.81           1                    0.58       166.78            88   4.84             84          850137776        0.55              0.99        17.32               73.02                    0.47                  0.21                0               0     good                   0.34         128.98              0                -0.1               0.01
951766625   7.22948        70             -1.3                 0.22           7.23       5.75           0.97                 0.55       117.41            89   3.47             85          850137778        0.51              0.97         9.33              134.41                    0.4                   0.16                0               0     good                   0.07          74.16              0                -0.06              0
951766630  17.7724         80             -0.82                0.1           17.77       2.87           0.96                 0.62        69.77            90   2.14             86          850137778        0.49              0.99         9.75              103.38                    0.18                  0.25                0.02            0.01  good                   0.76          71.77              0.01             -0.03              0.07
951766634   5.82938        60             -0.07                0.18           5.83       6.66           1                    0.59        91.38            91   2.63             87          850137780        0.34              0.99        18.31              126.77                    0.29                  0.19                0               0     good                   0.34         104.45              0                -0.03              0.02
951766636  10.1654         50             -0.34                0.08          10.17       2.95           0.93                 0.52       120.67            92   3.67             88          850137780        0.44              0.99        16.95               64.28                    0.37                  0.19                0               0     good                   0.34          50.85              0.03             -0.06              0.07
951766640  14.9032         80             -0.62                0.08          14.9        2.87           0.93                 0.56        87.19            93   2.62             89          850137782        0.67              0.99        14.4                93.83                    0.22                  0.29                0.06            0.01  good                   0.07          68.56              0.01             -0.04              0.03
951766645   9.48799        60             -0.21                0.21           9.49       9.1            1                    0.51       214.75            94   5.57             90          850137782        0.63              0.99        17.09               57.75                    0.68                  0.18                0               0     good                   0.34         116.17              0                -0.13              0
951766650   9.78735        70             -1.1                 0.06           9.79       4.2            0.89                 0.66        74.19            95   2.3              91          850137782        0.75              0.99        17.37              122.98                    0.17                  0.34                0.1             0.01  good                   1.72          59.97              0.01             -0.04              0.03
